POSTI_ALUE,NIMI,KUNTA
27260,Kuolimaa,684
27310,Kodisjoki,684
27320,Ihode,631
,,
,,
27340,Reila,631
27400,Kiukainen Keskus,50
27420,Panelia Asemanseutu,50
27430,Panelia,50
27450,Harola,50
27500,Kauttua,50
27510,Eura Keskus,50
27600,Hinnerjoki,50
27640,Honkilahti kk,50
27650,Honkilahti,50
27670,Mannila,50
27710,Köyliö Keskus,783
27730,Tuiskula,783
27740,Voitoinen,783
27750,Yttilä,783
27800,Säkylä Keskus,783
27820,Iso-Vimma,783
27840,Kakkuri,783
27860,Vuori,783
27910,Huovinrinne,783
27920,Otajoki,783
28100,Pori Keskus,609
28120,Käppärä-Isomäki,609
28130,Impola,609
,,
28190,Pormestarinluoto,609
28200,Toejoki,609
28220,Ruosniemi,609
28240,Isojoenranta,609
28260,Harjunpää,886
28300,Kalaholma-Väinölä,609
28330,Koivistonluoto,609
28360,Vanhakoivisto,609
28370,Sampola,609
28400,Ulvila Keskus,886
28430,Kartano-Harmaalinna,609
28450,Vanha-Ulvila,886
28500,Keskussairaala-alue-Tiilimäki,609
28540,Pinomäki,609
28560,Lattomeri,609
28580,Niittymaa,609
28600,Vähärauma,609
28610,Musa-Tiiliruukki,609
,,
28660,Pietniemi-Leppäkorpi,609
28760,Kyläsaari,609
28800,Pihlava,609
28840,Yyteri-Kaanaa,609
28880,Mäntyluoto,609
,,
,,
,,
,,
,,
28900,Tahkoluoto-Reposaari,609
,,
,,
,,
,,
,,
,,
29100,Luvia Keskus,51
29180,Peränkylä,51
29200,Harjavalta Keskus,79
29250,Nakkila Keskus,531
29270,Hormisto,531
29280,Järvimaa,531
29310,Kaasmarkku,886
29320,Leineperi,886
29340,Kullaa Keskus,886
29350,Palus,886
29570,Söörmarkku,609
29600,Noormarkku Keskus,609
29630,Pomarkku Keskus,608
29640,Honkakoski,608
29680,Kairila,609
,,
,,
29700,Ahlainen,609
29720,Lamppi,609
29740,Etelämaa,484
29750,Pohjansaha,484
,,
29760,Köörtilä,484
29790,Tuorila,484
29810,Siikainen Keskus,747
29830,Sammi,747
29860,Otamo,747
29880,Leväsjoki-Saarineva,747
,,
,,
,,
,,
,,
29900,Merikarvia Keskus-Rannikko,484
29940,Kuvaskangas,484
30100,Forssa Keskus,834
30300,Viksberg,61
30420,Tölö,61
31110,Matku,61
31130,Koijärvi,61
31140,Menonen,887
31160,Nuutajärvi,887
31170,Savijoki,61
31230,Susikas,834
31250,Teuro,834
31300,Tammela Keskus,834
31310,Mustiala,834
31340,Porras,834
31350,Vistinkoski,834
31370,Eerikkilän Urheiluopisto,834
31380,Letku-Torro,834
31400,Somero Keskus,761
31410,Ylöpirtti,761
31450,Häntälä,761
31460,Hirsjärvi,761
31470,Somerniemi,761
31490,Terttilä,761
31500,Koski Tl,284
31520,Pitkäjärvi,761
31530,Pyöli,761
31600,Jokioinen Keskus,169
31610,Vaulammi,169
31620,Latovainio,169
31630,Minkiö,169
31640,Humppila Keskus,103
31650,Venäjänkangas,103
31700,Urjala Asemanseutu-Hanhisuo,887
31720,Urjalankylä-Kehro,887
31730,Honkola,887
31750,Kehro,887
31760,Urjala Keskus,887
31810,Oriniemi,619
31830,Halkivaha,887
31850,Koskioinen,619
31860,Tursa,887
31900,Punkalaidun Keskus,619
31930,Vanttila,619
31950,Sadonmaa,619
31960,Orisuo,430
31970,Kanteenmaa,619
32100,Ypäjä Keskus,981
32140,Ypäjä Asemanseutu,981
32200,Loimaa Keskus,430
32210,Loimaa kk,430
32250,Kojonkulma,430
32260,Kojonperä,430
32270,Metsämaa-Murto,430
32280,Metsäkorpi,430
32300,Mellilä,430
32410,Niinijoki,430
32430,Ylhäinen,430
32440,Alastaro Keskus,430
32450,Tammiainen,430
32500,Oripää Keskus,561
32520,Latva,561
32560,Virttaa,430
32610,Vampula Keskus,102
32620,Rutava,102
32700,Huittinen Keskus,102
32710,Sampu,102
32730,Keikyä,790
32740,Äetsä Keskus,790
32760,Suttila,102
32770,Huhtamo,102
32800,Kokemäki Keskus,271
